CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,CommuteDistance
11000,Jon,Yang,06/10/1971,M,M,90000,2,Bachelors,Professional,1,0,19/01/2011,1-2 Miles
11001,Eugene,Huang,10/05/1976,S,M,60000,3,Bachelors,Professional,0,1,15/01/2011,0-1 Miles
11002,Ruben,Torres,09/02/1971,M,M,60000,3,Bachelors,Professional,1,1,07/01/2011,2-5 Miles
11003,Christy,Zhu,14/08/1973,S,F,70000,0,Bachelors,Professional,0,1,29/12/2010,5-10 Miles
11004,Elizabeth,Johnson,05/08/1979,S,F,80000,5,Bachelors,Professional,1,4,23/01/2011,1-2 Miles
11005,Julio,Ruiz,01/08/1976,S,M,70000,0,Bachelors,Professional,1,1,30/12/2010,5-10 Miles
11006,Janet,Alvarez,02/12/1976,S,F,70000,0,Bachelors,Professional,1,1,24/01/2011,5-10 Miles
11007,Marco,Mehta,06/11/1969,M,M,60000,3,Bachelors,Professional,1,2,09/01/2011,0-1 Miles
11008,Rob,Verhoff,04/07/1975,S,F,60000,4,Bachelors,Professional,1,3,25/01/2011,10+ Miles
11009,Shannon,Carlson,29/09/1969,S,M,70000,0,Bachelors,Professional,0,1,27/01/2011,5-10 Miles
11010,Jacquelyn,Suarez,05/08/1969,S,F,70000,0,Bachelors,Professional,0,1,14/01/2011,5-10 Miles
11011,Curtis,Lu,03/05/1969,M,M,60000,4,Bachelors,Professional,1,4,30/12/2010,10+ Miles
11012,Lauren,Walker,14/01/1979,M,F,100000,2,Bachelors,Management,1,2,16/03/2013,1-2 Miles
11013,Ian,Jenkins,03/08/1979,M,M,100000,2,Bachelors,Management,1,3,13/04/2013,0-1 Miles
11014,Sydney,Bennett,06/11/1973,S,F,100000,3,Bachelors,Management,0,3,23/03/2013,1-2 Miles
11015,Chloe,Young,26/08/1984,S,F,30000,0,Partial College,Skilled Manual,0,1,18/01/2013,5-10 Miles
11016,Wyatt,Hill,25/10/1984,M,M,30000,0,Partial College,Skilled Manual,1,1,09/02/2013,5-10 Miles
